timestamp,vin,event_type,latitude,longitude,speed_kmh,odometer_km,ignition_state,key_fob_id,technician_id,geofence_zone,dtc_code,location_label
2026-08-19 08:00:12,1HGCM82633A004352,IGNITION_ON,13.0827,80.2707,0,118902.0,ON,FOB-1187,,,,Meridian Depot - Chennai
2026-08-19 08:02:00,1HGCM82633A004352,GPS_PING,13.0831,80.2715,12,118903.1,ON,,,,,
2026-08-19 08:15:00,1HGCM82633A004352,GPS_PING,13.0902,80.2790,38,118909.4,ON,,,,,
2026-08-19 08:32:00,1HGCM82633A004352,GPS_PING,13.1005,80.2850,45,118916.2,ON,,,,,
2026-08-19 08:50:00,1HGCM82633A004352,GPS_PING,13.1090,80.2900,30,118921.0,ON,,,,,
2026-08-19 09:10:00,1HGCM82633A004352,GPS_PING,13.1150,80.2950,0,118924.5,ON,,,,,Customer Stop - Anna Nagar
2026-08-19 09:40:00,1HGCM82633A004352,GPS_PING,13.1090,80.2900,28,118928.0,ON,,,,,
2026-08-19 10:05:00,1HGCM82633A004352,GPS_PING,13.1000,80.2870,35,118933.6,ON,,,,,
2026-08-19 10:30:00,1HGCM82633A004352,GPS_PING,13.0900,80.2800,40,118940.1,ON,,,,,
2026-08-19 10:55:00,1HGCM82633A004352,HARSH_BRAKING,13.0870,80.2760,0,118945.0,ON,,,,,
2026-08-19 11:20:00,1HGCM82633A004352,GPS_PING,13.0827,80.2707,5,118950.2,ON,,,,,Meridian Depot - Chennai
2026-08-19 12:00:00,1HGCM82633A004352,GPS_PING,13.0902,80.2790,44,118958.7,ON,,,,,
2026-08-19 13:10:00,1HGCM82633A004352,GPS_PING,13.1005,80.2850,41,118964.3,ON,,,,,
2026-08-19 14:20:00,1HGCM82633A004352,GPS_PING,13.0827,80.2707,8,118970.0,ON,,,,,Meridian Depot - Chennai
2026-08-19 14:32:00,1HGCM82633A004352,IGNITION_OFF,13.0827,80.2707,0,118970.0,OFF,FOB-1187,,,,Meridian Depot - Chennai
2026-08-20 02:14:03,1HGCM82633A004352,IGNITION_ON,13.0827,80.2707,0,118970.0,ON,NONE,,,,Meridian Depot - Chennai
2026-08-20 02:15:10,1HGCM82633A004352,GPS_PING,13.0827,80.2707,0,118970.0,ON,,,,,Meridian Depot - Chennai
2026-08-20 02:15:40,1HGCM82633A004352,GPS_PING,6.5244,3.3792,0,118970.0,ON,,,,,Lagos - NG (unexpected)
2026-08-20 02:20:00,1HGCM82633A004352,OBD_DIAGNOSTIC,6.5244,3.3792,0,118970.0,ON,,UNKNOWN-77,,,Lagos - NG (unexpected)
2026-08-20 02:24:00,1HGCM82633A004352,DTC_SET,6.5244,3.3792,0,118970.0,ON,,,,U0100,Lagos - NG (unexpected)
2026-08-20 02:26:30,1HGCM82633A004352,DTC_CLEARED,6.5244,3.3792,0,118970.0,ON,,,,U0100,Lagos - NG (unexpected)
